goog_date,goog_month,goog_year,goog_isoweek,goog_isodow,goog_isoyear,goog_channel_group,goog_product_group,goog_sub_channel,goog_advertiser,goog_cost,goog_impressions,goog_clicks,goog_video_views,goog_video_completes
2017-01-04,1,2017,1,2,2017,Remarketing,Pillow,DN,Tempur-Pedic,160.19999999999996,68679,71,0,0.0
2017-01-04,1,2017,1,2,2017,Shopping,Mattress,SN,Tempur-Pedic,587.49,23436,165,0,0.0
2017-01-04,1,2017,1,2,2017,Shopping,Other,SN,Tempur-Pedic,359.53,10842,145,0,0.0
2017-01-04,1,2017,1,2,2017,Shopping,Pillow,SN,Tempur-Pedic,519.89,22078,201,0,0.0
2017-01-05,1,2017,1,3,2017,Branded Search,Mattress,SN,Tempur-Pedic,11591.430000000004,32515,4047,0,0.0
2017-01-05,1,2017,1,3,2017,Branded Search,Other,SN,Tempur-Pedic,283.15,1273,79,0,0.0
2017-01-05,1,2017,1,3,2017,Dynamic Remarketing,Mattress,DN,Tempur-Pedic,14.82,6072,13,0,0.0
2017-01-05,1,2017,1,3,2017,Mattress Firm,Mattress,SN,Tempur-Pedic,209.79,3059,33,0,0.0
2017-01-05,1,2017,1,3,2017,Remarketing,Mattress,DN,Tempur-Pedic,486.6200000000001,185054,196,0,0.0
2017-01-05,1,2017,1,3,2017,Remarketing,Other,DN,Tempur-Pedic,175.9,60299,121,0,0.0
2017-01-05,1,2017,1,3,2017,Remarketing,Pillow,DN,Tempur-Pedic,150.30999999999997,70060,82,0,0.0
2017-01-05,1,2017,1,3,2017,Shopping,Mattress,SN,Tempur-Pedic,613.0500000000001,23078,179,0,0.0
2017-01-05,1,2017,1,3,2017,Shopping,Other,SN,Tempur-Pedic,381.53,14836,157,0,0.0
2017-01-05,1,2017,1,3,2017,Shopping,Pillow,SN,Tempur-Pedic,548.3699999999999,22072,229,0,0.0
2017-01-06,1,2017,1,4,2017,Branded Search,Mattress,SN,Tempur-Pedic,11130.299999999997,31361,3610,0,0.0
2017-01-06,1,2017,1,4,2017,Competitor,Mattress,SN,Tempur-Pedic,203.37,1691,10,0,0.0
2017-01-06,1,2017,1,4,2017,Dynamic Remarketing,Mattress,DN,Tempur-Pedic,52.95,16732,43,0,0.0
2017-01-06,1,2017,1,4,2017,Mattress Firm,Mattress,SN,Tempur-Pedic,199.29,2732,30,0,0.0
2017-01-06,1,2017,1,4,2017,Remarketing,Mattress,DN,Tempur-Pedic,411.2999999999999,175112,167,0,0.0
2017-01-06,1,2017,1,4,2017,Remarketing,Other,DN,Tempur-Pedic,174.86999999999998,73411,112,0,0.0
2017-01-06,1,2017,1,4,2017,Remarketing,Pillow,DN,Tempur-Pedic,187.29,79195,81,0,0.0
2017-01-06,1,2017,1,4,2017,Shopping,Mattress,SN,Tempur-Pedic,573.15,21893,161,0,0.0
2017-01-06,1,2017,1,4,2017,Shopping,Other,SN,Tempur-Pedic,356.35,9529,135,0,0.0
