bing_date,bing_month,bing_year,bing_isoweek,bing_isodow,bing_isoyear,bing_channel_group,bing_product_group,bing_sub_channel,bing_advertiser,bing_cost,bing_impressions,bing_clicks,bing_video_views,bing_video_completes
2017-01-08,1,2017,1,6,2017,Branded Search,Pillow,SN,Tempur-Pedic,752.5699999999998,8290,205,0,0.0
2017-01-08,1,2017,1,6,2017,Competitor Search,Mattress,SN,Tempur-Pedic,435.29999999999995,2860,40,0,0.0
2017-01-08,1,2017,1,6,2017,Display Remarketing,Mattress,DN,Tempur-Pedic,537.0600000000002,178759,242,0,0.0
2017-01-08,1,2017,1,6,2017,Display Remarketing,Other,DN,Tempur-Pedic,195.93,55312,139,0,0.0
2017-01-08,1,2017,1,6,2017,Display Remarketing,Pillow,DN,Tempur-Pedic,163.65999999999997,77832,90,0,0.0
2017-01-08,1,2017,1,6,2017,Shopping,Mattress,SN,Tempur-Pedic,583.38,19463,196,0,0.0
2017-01-08,1,2017,1,6,2017,Shopping,Other,SN,Tempur-Pedic,362.28,10573,121,0,0.0
2017-01-08,1,2017,1,6,2017,Shopping,Pillow,SN,Tempur-Pedic,524.16,24664,228,0,0.0
2017-01-09,1,2017,1,7,2017,Branded Search,Mattress,SN,Tempur-Pedic,16052.470000000001,55421,4355,0,0.0
2017-01-09,1,2017,1,7,2017,Branded Search,Other,SN,Tempur-Pedic,1968.5700000000004,21742,689,0,0.0
2017-01-09,1,2017,1,7,2017,Branded Search,Pillow,SN,Tempur-Pedic,742.7499999999997,7794,196,0,0.0
2017-01-09,1,2017,1,7,2017,Competitor Search,Mattress,SN,Tempur-Pedic,417.33,8428,39,0,0.0
2017-01-09,1,2017,1,7,2017,Display Remarketing,Mattress,DN,Tempur-Pedic,520.4600000000002,198390,226,0,0.0
2017-01-09,1,2017,1,7,2017,Display Remarketing,Other,DN,Tempur-Pedic,185.2,73076,132,0,0.0
2017-01-09,1,2017,1,7,2017,Display Remarketing,Pillow,DN,Tempur-Pedic,164.81,113826,123,0,0.0
2017-01-09,1,2017,1,7,2017,Shopping,Mattress,SN,Tempur-Pedic,588.0299999999999,21574,186,0,0.0
2017-01-09,1,2017,1,7,2017,Shopping,Other,SN,Tempur-Pedic,379.47,10705,125,0,0.0
2017-01-09,1,2017,1,7,2017,Shopping,Pillow,SN,Tempur-Pedic,529.24,24485,202,0,0.0
2017-01-10,1,2017,2,1,2017,Branded Search,Mattress,SN,Tempur-Pedic,14690.960000000001,53571,4005,0,0.0
2017-01-10,1,2017,2,1,2017,Branded Search,Other,SN,Tempur-Pedic,1844.4699999999996,22707,674,0,0.0
2017-01-10,1,2017,2,1,2017,Branded Search,Pillow,SN,Tempur-Pedic,745.4399999999996,6929,196,0,0.0
2017-01-10,1,2017,2,1,2017,Competitor Search,Mattress,SN,Tempur-Pedic,408.34999999999997,4238,41,0,0.0
2017-01-10,1,2017,2,1,2017,Display Remarketing,Mattress,DN,Tempur-Pedic,472.4899999999998,158923,190,0,0.0
2017-01-10,1,2017,2,1,2017,Display Remarketing,Other,DN,Tempur-Pedic,180.36999999999998,72786,126,0,0.0
