hit_date,hit_isoweek,hit_month,hit_quarter,hit_year,hit_isoyear,hit_brandname,hit_parentcompany,hit_brandtype,hit_brandsubtype,hit_value
2017-10-15,41,10,4,2017,2017,Nectar,Nectar,manufacturer,disruptor,135948.0
2017-12-10,49,12,4,2017,2017,cocoon,tsi,manufacturer,disruptor,16075.0
2017-10-15,41,10,4,2017,2017,Dream Bed,mfrm,manufacturer,disruptor,
2017-10-22,42,10,4,2017,2017,Nectar,Nectar,manufacturer,disruptor,150001.0
2017-12-17,50,12,4,2017,2017,cocoon,tsi,manufacturer,disruptor,9414.0
2017-10-22,42,10,4,2017,2017,Dream Bed,mfrm,manufacturer,disruptor,
2017-10-29,43,10,4,2017,2017,Nectar,Nectar,manufacturer,disruptor,150043.0
2017-12-24,51,12,4,2017,2017,cocoon,tsi,manufacturer,disruptor,9539.0
2017-10-29,43,10,4,2017,2017,Dream Bed,mfrm,manufacturer,disruptor,
2017-11-05,44,11,4,2017,2017,Nectar,Nectar,manufacturer,disruptor,163191.0
2017-12-31,52,12,4,2017,2017,cocoon,tsi,manufacturer,disruptor,18089.0
2017-11-05,44,11,4,2017,2017,Dream Bed,mfrm,manufacturer,disruptor,
2017-11-12,45,11,4,2017,2017,Nectar,Nectar,manufacturer,disruptor,167750.0
2018-04-15,15,4,2,2018,2018,sleep number,select comfort,manufacturer,traditional,287208.0
2018-04-15,15,4,2,2018,2018,tempur-pedic,tsi,manufacturer,traditional,112198.0
2018-04-15,15,4,2,2018,2018,serta,ssb,manufacturer,traditional,74857.0
2018-04-15,15,4,2,2018,2018,simmons/beautyrest,ssb,manufacturer,traditional,30160.0
2018-04-15,15,4,2,2018,2018,sealy,tsi,manufacturer,traditional,21001.0
2018-04-15,15,4,2,2018,2018,stearns & foster,tsi,manufacturer,traditional,12013.0
2018-04-22,16,4,2,2018,2018,sleep number,select comfort,manufacturer,traditional,293139.0
2018-04-22,16,4,2,2018,2018,tempur-pedic,tsi,manufacturer,traditional,107552.0
2018-04-22,16,4,2,2018,2018,serta,ssb,manufacturer,traditional,60572.0
2018-04-22,16,4,2,2018,2018,simmons/beautyrest,ssb,manufacturer,traditional,26203.0
2018-04-22,16,4,2,2018,2018,sealy,tsi,manufacturer,traditional,25292.0
2018-04-22,16,4,2,2018,2018,stearns & foster,tsi,manufacturer,traditional,8678.0
2018-04-29,17,4,2,2018,2018,sleep number,select comfort,manufacturer,traditional,323449.0
2018-04-29,17,4,2,2018,2018,tempur-pedic,tsi,manufacturer,traditional,112250.0
2017-11-12,45,11,4,2017,2017,Dream Bed,mfrm,manufacturer,disruptor,
